IDUsuario,FechaInicioSuscripcion,DuracionSuscripcionMeses,PlanContratado,Region,HorasSemanales,GenerosFavoritos,Edad,Dispositivo,PrecioMensual
595,2021-12-01,47,Prime Video Estándar,Andalucía,22.4,Comedy,65,Smart TV,9.99
596,2024-02-17,39,Prime Video Channels,Andalucía,1.8,Thriller;Horror;Comedy,69,Smartphone,7.99
597,2024-10-05,5,Prime Video Estándar,Cataluña,19.2,Sci-Fi;Thriller;Action,49,Smartphone,9.99
598,2024-07-19,16,Prime Video Básico,Madrid,5.9,Romance,30,Smartphone,4.99
599,2022-04-26,42,Prime Video Estándar,Cataluña,23.8,Horror;Comedy;Sci-Fi,34,Tablet,9.99
600,2021-06-16,26,Alquiler de películas,Andalucía,22.6,Horror;Comedy,44,Smart TV,3.99
601,2021-11-26,14,Prime Video Estándar,Cataluña,1.4,Romance;Horror;Action,58,Tablet,9.99
602,2024-12-22,25,Prime Video Premium,Madrid,2.5,Drama,32,Smartphone,12.99
603,2022-01-03,2,Prime Video Básico,Andalucía,24.4,Comedy;Thriller,56,Smartphone,4.99
604,2022-09-06,23,Prime Video Channels,Madrid,16.6,Thriller;Drama,41,Smart TV,7.99
605,2020-06-16,11,Prime Video Estándar,Andalucía,11.8,Action,40,Smartphone,9.99
606,2024-01-30,39,Prime Video Estándar,Murcia,2.2,Thriller;Drama;Horror,46,Smartphone,9.99
607,2023-10-24,20,Prime Video Básico,Comunidad Valenciana,15.8,Drama;Thriller;Comedy,25,Smartphone,4.99
608,2022-10-30,47,Prime Video Básico,Andalucía,3.2,Romance;Thriller;Horror,54,Smart TV,4.99
609,2023-07-15,42,Prime Video Channels,Aragón,11.2,Romance;Action;Drama,35,Smartphone,7.99
610,2020-02-18,17,Prime Video Estándar,Galicia,24.3,Horror;Sci-Fi;Comedy,29,Smartphone,9.99
611,2023-10-06,32,Prime Video Estándar,Andalucía,23.3,Action;Drama,27,Laptop,9.99
612,2024-10-29,34,Prime Video para niños,Madrid,13.1,Horror;Sci-Fi;Drama,46,Laptop,6.99
613,2022-12-12,35,Prime Video Básico,Cataluña,10.1,Romance;Thriller;Horror,64,Smart TV,4.99
614,2023-03-11,6,Prime Video Básico,Madrid,13.6,Horror;Action,31,Smart TV,4.99
615,2020-05-06,26,Prime Video Básico,País Vasco,11.4,Horror;Drama;Romance,22,Tablet,4.99
616,2023-04-06,45,Prime Video Channels,Madrid,14.4,Action;Thriller;Sci-Fi,33,Smartphone,7.99
617,2021-04-03,7,Prime Video Básico,Madrid,23.9,Comedy;Sci-Fi,56,Tablet,4.99
618,2023-02-20,54,Prime Video Premium,Galicia,11.3,Comedy;Drama,27,Smartphone,12.99
619,2020-12-22,22,Prime Video Estándar,Aragón,9.7,Drama;Romance,69,Smartphone,9.99
620,2023-03-11,58,Prime Video Básico,Andalucía,22.9,Romance;Action;Comedy,50,Tablet,4.99
621,2020-01-07,57,Prime Video Premium,Aragón,5.5,Horror;Comedy;Action,61,Tablet,12.99
622,2020-12-31,29,Prime Video Premium,Andalucía,4.4,Drama,36,Smartphone,12.99
623,2023-04-18,48,Prime Video Estándar,Castilla y León,19.5,Romance;Sci-Fi;Action,41,Console,9.99
624,2020-06-13,48,Prime Video Básico,Canarias,14.1,Horror;Thriller;Comedy,63,Smart TV,4.99
625,2021-04-14,33,Prime Video Básico,Andalucía,13.0,Drama,57,Smart TV,4.99
626,2021-05-16,48,Prime Video Estándar,Canarias,9.5,Action,44,Tablet,9.99
627,2020-02-04,43,Prime Video Básico,Andalucía,9.8,Thriller;Romance,36,Smart TV,4.99
628,2020-04-30,23,Prime Video Básico,Cataluña,3.6,Drama;Comedy,32,Smartphone,4.99
629,2020-06-22,42,Prime Video Premium,Comunidad Valenciana,2.3,Comedy;Action;Sci-Fi,57,Tablet,12.99
630,2021-10-17,4,Prime Video Básico,Cataluña,5.0,Romance;Drama;Thriller,43,Smart TV,4.99
631,2022-04-16,10,Prime Video Estándar,Murcia,14.0,Horror,66,Smartphone,9.99
632,2024-10-05,1,Prime Video Básico,Andalucía,22.3,Action,50,Smartphone,4.99
633,2024-01-25,33,Prime Video Básico,Cataluña,8.1,Thriller;Action,32,Smartphone,4.99
634,2021-07-28,60,Prime Video Channels,Andalucía,5.7,Comedy,30,Laptop,7.99
635,2020-05-03,2,Prime Video Básico,Aragón,2.4,Drama;Action;Comedy,65,Smartphone,4.99
636,2022-03-18,29,Prime Video Estándar,Comunidad Valenciana,18.2,Horror;Romance;Comedy,64,Smartphone,9.99
637,2020-05-09,37,Alquiler de películas,Andalucía,14.1,Comedy,28,Smart TV,3.99
638,2023-05-24,47,Prime Video Básico,Comunidad Valenciana,24.2,Thriller;Action,33,Laptop,4.99
639,2022-04-01,45,Prime Video Básico,Madrid,15.6,Romance;Thriller;Horror,55,Smartphone,4.99
640,2024-07-10,37,Alquiler de películas,Castilla y León,17.8,Sci-Fi,42,Tablet,3.99
641,2024-12-02,39,Prime Video Básico,Andalucía,5.0,Thriller;Action;Comedy,29,Smartphone,4.99
642,2023-08-18,9,Prime Video Básico,Madrid,4.2,Comedy;Horror,27,Tablet,4.99
643,2023-01-26,35,Prime Video Estándar,Andalucía,5.8,Action;Romance;Thriller,65,Smartphone,9.99
644,2024-12-19,6,Prime Video Básico,Madrid,12.9,Thriller;Drama,60,Smartphone,4.99
645,2022-12-26,9,Prime Video Estándar,Cataluña,6.8,Sci-Fi,57,Tablet,9.99
646,2023-04-03,12,Prime Video Channels,Comunidad Valenciana,5.9,Comedy;Drama;Horror,37,Smartphone,7.99
647,2024-10-13,18,Prime Video Básico,Murcia,14.2,Horror;Thriller;Comedy,33,Smartphone,4.99
648,2020-11-27,36,Prime Video Channels,Andalucía,4.7,Sci-Fi;Comedy;Drama,30,Smartphone,7.99
649,2022-07-13,42,Prime Video Básico,Canarias,21.9,Action;Thriller,50,Tablet,4.99
650,2023-07-21,50,Prime Video Estándar,Madrid,14.3,Thriller;Romance,50,Smart TV,9.99
651,2022-06-25,11,Prime Video Estándar,Murcia,7.7,Sci-Fi,22,Tablet,9.99
652,2023-10-04,43,Prime Video Estándar,Comunidad Valenciana,7.1,Horror;Romance;Thriller,35,Tablet,9.99
653,2023-10-04,58,Prime Video Premium,Andalucía,2.8,Action,26,Smartphone,12.99
654,2020-07-17,11,Alquiler de películas,Madrid,15.4,Comedy;Thriller;Action,38,Smartphone,3.99
655,2020-02-23,9,Prime Video Básico,Galicia,7.1,Thriller,24,Smartphone,4.99
656,2022-01-19,50,Prime Video Básico,Madrid,23.9,Drama;Comedy;Romance,68,Console,4.99
657,2021-06-27,33,Prime Video Básico,Cataluña,4.2,Action;Thriller;Horror,25,Smartphone,4.99
658,2024-04-11,17,Prime Video Estándar,Canarias,23.3,Sci-Fi;Drama;Comedy,30,Tablet,9.99
659,2020-05-16,53,Prime Video Básico,Comunidad Valenciana,9.8,Thriller;Action,52,Tablet,4.99
660,2021-07-30,34,Prime Video Básico,Andalucía,23.8,Drama;Thriller,56,Smart TV,4.99
661,2020-11-29,42,Alquiler de películas,País Vasco,23.3,Drama;Thriller,37,Laptop,3.99
662,2020-02-20,49,Prime Video Básico,Comunidad Valenciana,7.4,Romance;Action;Comedy,54,Laptop,4.99
663,2020-05-17,39,Prime Video Estándar,Canarias,9.7,Horror;Romance,33,Smartphone,9.99
664,2024-02-21,52,Prime Video Básico,Castilla y León,12.8,Action;Romance,29,Smart TV,4.99
665,2021-06-24,44,Prime Video Básico,Canarias,3.4,Horror,33,Smartphone,4.99
666,2022-02-17,59,Prime Video Básico,Andalucía,2.7,Horror;Action,25,Smartphone,4.99
667,2022-04-27,52,Prime Video Básico,Madrid,14.8,Comedy;Horror,33,Smart TV,4.99
668,2023-05-16,40,Prime Video Channels,Madrid,3.2,Thriller;Horror;Sci-Fi,25,Smartphone,7.99
669,2022-04-10,50,Prime Video Básico,Comunidad Valenciana,22.6,Comedy;Sci-Fi,62,Smartphone,4.99
670,2023-12-13,55,Prime Video Premium,Cataluña,22.0,Romance;Drama;Sci-Fi,27,Smartphone,12.99
671,2023-09-12,31,Prime Video Estándar,Castilla y León,17.4,Horror;Thriller,25,Tablet,9.99
672,2021-02-14,30,Compra de películas,Madrid,3.0,Sci-Fi;Romance,28,Smartphone,14.99
673,2021-12-20,32,Prime Video Estándar,Andalucía,22.9,Drama,57,Smart TV,9.99
674,2022-11-30,14,Prime Video Básico,Andalucía,24.5,Romance;Horror;Drama,18,Smart TV,4.99
675,2024-05-05,24,Prime Video para niños,Cataluña,4.4,Action;Comedy,49,Tablet,6.99
676,2023-08-09,55,Prime Video Básico,Aragón,18.7,Action;Thriller,28,Smartphone,4.99
677,2021-11-21,43,Prime Video Básico,Madrid,24.2,Horror;Comedy;Thriller,47,Tablet,4.99
678,2023-11-13,42,Prime Video Estándar,Comunidad Valenciana,23.3,Thriller;Comedy,35,Tablet,9.99
679,2022-06-01,10,Prime Video Estándar,Comunidad Valenciana,24.5,Drama;Sci-Fi;Action,41,Laptop,9.99
680,2020-03-28,58,Prime Video Básico,Andalucía,18.9,Drama;Action,28,Smartphone,4.99
681,2024-12-14,54,Prime Video Básico,Andalucía,25.0,Drama,41,Smartphone,4.99
682,2024-04-17,1,Prime Video Premium,Andalucía,16.3,Sci-Fi;Romance,29,Smartphone,12.99
683,2022-05-22,51,Prime Video Básico,Castilla y León,9.5,Action,27,Smartphone,4.99
684,2023-03-25,12,Prime Video Premium,Madrid,12.2,Comedy,25,Tablet,12.99
685,2021-06-29,52,Prime Video Básico,Canarias,3.1,Thriller,27,Smartphone,4.99
686,2021-09-23,60,Prime Video Básico,Aragón,8.3,Comedy;Thriller;Horror,33,Smartphone,4.99
687,2023-09-04,43,Prime Video Básico,Madrid,23.2,Drama;Thriller,54,Smart TV,4.99
688,2020-10-19,54,Prime Video para niños,Cataluña,24.8,Action;Horror;Romance,32,Smart TV,6.99
689,2021-04-07,2,Compra de películas,Cataluña,8.7,Romance,25,Smart TV,14.99
690,2021-04-09,32,Prime Video Básico,Comunidad Valenciana,16.8,Sci-Fi;Action;Drama,31,Smartphone,4.99
691,2020-06-07,12,Prime Video Básico,Cataluña,13.4,Drama;Sci-Fi,31,Smartphone,4.99
692,2023-11-22,58,Prime Video Básico,Andalucía,22.5,Thriller,33,Laptop,4.99
693,2020-09-16,1,Prime Video Básico,Comunidad Valenciana,9.0,Sci-Fi;Romance,61,Smart TV,4.99
694,2024-03-08,32,Prime Video Básico,Cataluña,4.8,Horror;Comedy,29,Tablet,4.99
695,2021-07-08,8,Prime Video Básico,Comunidad Valenciana,6.8,Horror,31,Smartphone,4.99
696,2024-02-08,7,Prime Video Estándar,Cataluña,21.7,Drama;Sci-Fi;Romance,42,Smartphone,9.99
697,2021-03-01,39,Prime Video Estándar,Galicia,14.9,Drama;Thriller;Sci-Fi,26,Smart TV,9.99
698,2024-06-19,13,Prime Video Premium,Comunidad Valenciana,24.3,Action,49,Smart TV,12.99
699,2024-11-18,40,Prime Video Básico,Cataluña,20.6,Sci-Fi,50,Smartphone,4.99
700,2023-11-27,47,Prime Video Estándar,Madrid,4.3,Romance,52,Smart TV,9.99
701,2024-04-23,8,Prime Video Estándar,Madrid,23.8,Sci-Fi;Romance;Horror,29,Tablet,9.99
702,2021-08-12,47,Prime Video Básico,País Vasco,7.9,Horror;Drama,26,Smartphone,4.99
703,2024-06-21,32,Prime Video Básico,Andalucía,1.4,Drama;Sci-Fi;Comedy,26,Smart TV,4.99
704,2024-09-11,49,Prime Video Básico,Andalucía,4.5,Thriller,44,Laptop,4.99
705,2020-12-09,53,Prime Video Estándar,Madrid,3.4,Drama;Romance,66,Smartphone,9.99
706,2024-11-01,43,Prime Video Estándar,Andalucía,2.2,Action,30,Smart TV,9.99
707,2021-06-14,10,Prime Video Básico,Canarias,11.3,Comedy;Romance;Horror,27,Smartphone,4.99
708,2020-06-09,10,Prime Video Básico,País Vasco,14.2,Romance;Sci-Fi;Comedy,30,Tablet,4.99
709,2022-11-23,3,Prime Video Estándar,Murcia,17.1,Horror;Drama,24,Tablet,9.99
710,2021-09-10,43,Prime Video Básico,Cataluña,23.2,Romance,28,Tablet,4.99
711,2020-10-30,37,Prime Video Básico,Andalucía,12.3,Drama;Thriller,22,Smartphone,4.99
712,2022-08-31,54,Prime Video Estándar,País Vasco,4.0,Action;Thriller;Drama,34,Smartphone,9.99
713,2020-02-11,24,Prime Video Básico,Comunidad Valenciana,16.3,Comedy;Drama,45,Smart TV,4.99
714,2021-07-16,57,Prime Video Estándar,Galicia,6.9,Sci-Fi;Thriller,65,Smartphone,9.99
715,2023-12-07,47,Prime Video Básico,Comunidad Valenciana,5.3,Horror;Thriller,44,Smart TV,4.99
716,2023-10-06,54,Prime Video Básico,Madrid,24.2,Horror;Comedy,30,Tablet,4.99
717,2022-11-26,45,Prime Video Estándar,Aragón,12.2,Action;Comedy,22,Smart TV,9.99
718,2024-04-19,21,Prime Video Básico,Andalucía,6.4,Horror;Thriller,34,Tablet,4.99
719,2022-12-18,9,Prime Video Básico,Madrid,23.6,Action;Horror,19,Smartphone,4.99
720,2020-08-01,46,Prime Video Premium,Murcia,23.7,Horror;Drama;Romance,47,Smart TV,12.99
721,2023-10-17,9,Prime Video Básico,Madrid,8.9,Comedy,35,Smartphone,4.99
722,2024-07-28,26,Prime Video Premium,Cataluña,16.7,Horror;Drama;Romance,26,Smartphone,12.99
723,2023-07-21,57,Prime Video Estándar,Madrid,19.2,Thriller;Horror,69,Smartphone,9.99
724,2023-01-05,22,Prime Video Básico,Andalucía,18.1,Romance,31,Smartphone,4.99
725,2023-06-22,27,Prime Video Premium,Castilla y León,21.7,Comedy;Thriller;Drama,36,Tablet,12.99
726,2021-10-25,44,Prime Video Estándar,Andalucía,10.9,Romance;Action;Horror,46,Smartphone,9.99
727,2024-10-12,38,Prime Video Básico,Madrid,13.6,Sci-Fi;Drama;Thriller,39,Tablet,4.99
728,2021-08-10,10,Prime Video Básico,Andalucía,10.2,Drama;Sci-Fi,23,Tablet,4.99
729,2022-10-19,50,Prime Video Premium,Murcia,2.7,Horror;Comedy,34,Smartphone,12.99
730,2024-07-28,20,Prime Video Premium,Cataluña,6.5,Action,43,Smartphone,12.99
731,2024-08-29,58,Prime Video Estándar,Madrid,24.5,Comedy;Romance;Horror,25,Smartphone,9.99
732,2020-04-26,32,Prime Video Básico,Madrid,11.8,Action;Thriller,28,Smartphone,4.99
733,2023-06-14,34,Prime Video Estándar,Cataluña,2.9,Sci-Fi;Thriller,22,Smartphone,9.99
734,2024-03-29,46,Prime Video Básico,Andalucía,5.8,Thriller;Action;Comedy,26,Console,4.99
735,2021-01-10,7,Prime Video Estándar,Comunidad Valenciana,14.0,Drama,25,Laptop,9.99
736,2023-05-07,30,Prime Video Básico,Madrid,8.4,Action,68,Smartphone,4.99
737,2020-06-30,60,Prime Video Básico,Madrid,12.8,Comedy;Sci-Fi;Action,51,Smartphone,4.99
738,2024-11-02,56,Prime Video Básico,Madrid,22.8,Comedy;Action,30,Smartphone,4.99
739,2022-01-18,28,Prime Video Premium,Cataluña,2.6,Horror;Action,20,Smart TV,12.99
740,2023-11-28,40,Prime Video Estándar,País Vasco,10.7,Comedy;Horror,32,Smartphone,9.99
741,2024-03-03,53,Prime Video Básico,Comunidad Valenciana,15.9,Drama,31,Smartphone,4.99
742,2020-02-15,28,Prime Video Básico,Madrid,9.3,Comedy,64,Tablet,4.99
743,2020-12-01,28,Prime Video Básico,Aragón,12.7,Romance;Drama,26,Laptop,4.99
744,2023-04-01,25,Prime Video Premium,Madrid,22.7,Action;Sci-Fi,31,Smartphone,12.99
745,2023-01-23,50,Prime Video Básico,Andalucía,4.6,Comedy;Horror;Action,24,Smartphone,4.99
746,2023-09-18,4,Prime Video Básico,Madrid,12.1,Comedy,66,Laptop,4.99
747,2020-06-25,58,Prime Video Básico,Madrid,3.1,Action;Drama,54,Smart TV,4.99
748,2023-01-02,41,Prime Video Premium,País Vasco,2.5,Comedy;Romance,63,Tablet,12.99
749,2021-06-21,3,Prime Video Básico,Canarias,10.6,Romance;Comedy,51,Smartphone,4.99
750,2021-01-03,32,Prime Video Estándar,Madrid,8.3,Action,45,Smart TV,9.99
751,2024-11-06,31,Prime Video Básico,Madrid,19.2,Horror;Thriller;Comedy,29,Laptop,4.99
752,2021-08-10,34,Prime Video Estándar,Aragón,15.2,Horror;Romance,65,Laptop,9.99
753,2022-04-13,25,Prime Video Premium,Madrid,1.3,Romance,58,Smartphone,12.99
754,2023-11-07,31,Prime Video Básico,Cataluña,8.7,Comedy,27,Smartphone,4.99
755,2023-08-17,26,Prime Video Channels,Castilla y León,24.0,Romance;Action;Drama,26,Smartphone,7.99
756,2024-02-10,27,Prime Video Premium,Madrid,20.8,Horror,26,Laptop,12.99
757,2021-08-05,24,Prime Video Estándar,Andalucía,14.6,Drama;Horror;Action,21,Laptop,9.99
758,2022-11-08,18,Prime Video Básico,Castilla y León,11.3,Action;Drama,57,Smartphone,4.99
759,2024-04-08,37,Prime Video Básico,Andalucía,19.8,Romance;Horror;Thriller,30,Tablet,4.99
760,2024-11-09,35,Prime Video Estándar,Madrid,22.6,Sci-Fi;Horror;Thriller,27,Smartphone,9.99
761,2024-08-29,50,Prime Video Channels,Comunidad Valenciana,14.7,Horror;Comedy,55,Smartphone,7.99
762,2022-09-05,7,Alquiler de películas,Canarias,8.5,Drama,45,Smartphone,3.99
763,2020-09-24,57,Prime Video Channels,Madrid,18.9,Thriller;Action,48,Smart TV,7.99
764,2024-01-13,52,Prime Video Básico,Murcia,20.3,Thriller;Comedy,57,Tablet,4.99
765,2020-07-30,5,Prime Video Estándar,Canarias,24.4,Drama,34,Tablet,9.99
766,2021-07-19,11,Prime Video Básico,Murcia,2.6,Action,41,Smartphone,4.99
767,2021-12-04,11,Prime Video Estándar,Murcia,23.9,Thriller,30,Tablet,9.99
768,2022-03-21,57,Prime Video Básico,Madrid,2.7,Horror,40,Smartphone,4.99
769,2023-02-17,1,Prime Video Básico,Madrid,15.4,Comedy;Action,27,Smart TV,4.99
770,2022-08-20,49,Prime Video para niños,Andalucía,20.7,Action,25,Smartphone,6.99
771,2022-11-30,33,Prime Video Básico,Galicia,7.0,Sci-Fi,28,Tablet,4.99
772,2023-06-17,48,Prime Video Básico,País Vasco,18.4,Action;Comedy;Romance,36,Smartphone,4.99
773,2021-06-17,26,Prime Video Básico,Madrid,24.2,Thriller;Comedy;Romance,28,Smartphone,4.99
774,2022-06-12,14,Prime Video Estándar,Andalucía,7.8,Comedy;Drama,28,Smartphone,9.99
775,2023-11-17,51,Prime Video Básico,Andalucía,3.4,Drama;Romance,33,Smart TV,4.99
776,2021-07-18,25,Prime Video Estándar,Madrid,3.7,Sci-Fi;Horror;Action,31,Smartphone,9.99
777,2021-11-04,20,Prime Video Básico,País Vasco,7.2,Drama;Horror;Sci-Fi,31,Smartphone,4.99
778,2021-09-24,32,Prime Video Estándar,Murcia,6.3,Comedy;Action;Thriller,27,Smart TV,9.99
779,2024-04-06,58,Prime Video Básico,Andalucía,24.8,Horror,29,Tablet,4.99
780,2022-10-21,4,Prime Video Estándar,Andalucía,11.7,Thriller;Sci-Fi;Comedy,33,Laptop,9.99
781,2023-12-07,39,Prime Video Estándar,Galicia,4.4,Comedy,32,Smartphone,9.99
782,2021-07-16,15,Prime Video Estándar,Andalucía,17.3,Romance,27,Smartphone,9.99
783,2023-02-10,26,Prime Video Estándar,Comunidad Valenciana,14.0,Horror;Thriller;Comedy,61,Tablet,9.99
784,2021-05-30,27,Prime Video Channels,Madrid,18.2,Romance;Thriller;Action,39,Smartphone,7.99
785,2020-10-19,7,Prime Video Estándar,Canarias,2.2,Sci-Fi;Horror;Comedy,19,Smartphone,9.99
786,2023-06-14,23,Prime Video Premium,Madrid,16.5,Sci-Fi,34,Smartphone,12.99
787,2024-03-12,33,Prime Video Básico,Canarias,8.3,Drama;Thriller;Romance,62,Laptop,4.99
788,2023-07-09,50,Prime Video Básico,Canarias,6.5,Sci-Fi;Horror;Comedy,30,Smartphone,4.99
789,2021-10-24,26,Prime Video Básico,Murcia,15.2,Drama,28,Smartphone,4.99
790,2020-04-28,46,Prime Video Estándar,Andalucía,24.8,Action;Romance;Drama,27,Smartphone,9.99
791,2024-11-16,6,Prime Video Estándar,Castilla y León,10.1,Comedy;Drama,59,Smartphone,9.99
792,2022-03-15,44,Alquiler de películas,País Vasco,22.8,Drama;Thriller,65,Smartphone,3.99
793,2022-01-24,15,Alquiler de películas,Castilla y León,1.6,Action,34,Smartphone,3.99
794,2022-05-05,42,Prime Video Básico,Andalucía,21.8,Romance,21,Smartphone,4.99
795,2024-08-28,37,Prime Video Channels,Cataluña,10.7,Thriller;Action,61,Tablet,7.99
796,2021-02-22,4,Prime Video Estándar,Cataluña,11.9,Romance,26,Smart TV,9.99
797,2021-03-12,37,Prime Video Básico,Murcia,14.0,Action;Thriller,61,Tablet,4.99
798,2021-03-18,60,Prime Video Básico,Cataluña,11.2,Thriller,37,Smartphone,4.99
799,2022-05-14,29,Prime Video Básico,Madrid,3.0,Sci-Fi;Horror;Action,33,Laptop,4.99
800,2021-04-06,18,Prime Video Estándar,Cataluña,14.5,Romance;Horror;Action,21,Smartphone,9.99
801,2024-06-28,17,Prime Video Básico,Cataluña,11.0,Drama;Thriller;Comedy,35,Smartphone,4.99
802,2024-11-12,14,Prime Video Estándar,Madrid,8.8,Sci-Fi;Thriller;Romance,30,Smart TV,9.99
803,2020-09-23,19,Prime Video Channels,Andalucía,14.4,Sci-Fi,33,Tablet,7.99
804,2024-08-13,26,Prime Video Básico,Cataluña,18.4,Action;Thriller,45,Tablet,4.99
805,2024-12-12,60,Prime Video Estándar,Andalucía,20.8,Romance;Action;Comedy,33,Smartphone,9.99
806,2020-07-02,60,Prime Video Básico,Madrid,11.8,Drama;Horror;Action,35,Tablet,4.99
807,2023-07-15,10,Prime Video Básico,Madrid,17.7,Sci-Fi;Romance,42,Smartphone,4.99
808,2024-03-02,32,Prime Video Básico,Madrid,4.7,Action,48,Smartphone,4.99
809,2020-12-13,48,Prime Video Básico,Madrid,23.5,Action,45,Smartphone,4.99
810,2020-09-17,47,Prime Video Básico,Madrid,21.5,Action;Drama,49,Smart TV,4.99
811,2020-02-23,45,Prime Video Básico,Madrid,5.4,Romance,53,Tablet,4.99
812,2021-04-26,14,Prime Video Estándar,Galicia,1.3,Romance,37,Smartphone,9.99
813,2022-06-12,40,Prime Video Premium,Aragón,10.5,Drama;Comedy;Thriller,32,Tablet,12.99
814,2021-11-13,57,Prime Video Básico,Andalucía,16.8,Action;Drama;Comedy,57,Smartphone,4.99
815,2020-11-25,52,Alquiler de películas,Andalucía,11.8,Thriller;Drama;Action,26,Smartphone,3.99
816,2024-04-02,28,Alquiler de películas,Madrid,24.3,Horror,45,Smartphone,3.99
817,2023-07-08,23,Prime Video Básico,Andalucía,13.0,Horror,30,Smartphone,4.99
818,2024-01-08,32,Prime Video Básico,Madrid,13.1,Horror;Thriller;Sci-Fi,31,Smart TV,4.99
819,2022-09-23,55,Prime Video Estándar,Madrid,8.8,Thriller;Comedy,35,Smartphone,9.99
820,2022-01-24,4,Prime Video Básico,Canarias,9.8,Drama;Action,65,Smartphone,4.99
821,2020-10-03,43,Prime Video Básico,Cataluña,13.0,Action;Romance,27,Smart TV,4.99
822,2023-09-12,28,Prime Video Básico,Comunidad Valenciana,24.7,Thriller,34,Smart TV,4.99
823,2024-05-24,19,Prime Video Estándar,Madrid,18.3,Thriller,30,Smart TV,9.99
824,2024-12-18,58,Prime Video Channels,Madrid,2.9,Comedy;Romance;Action,35,Smart TV,7.99
825,2020-04-18,18,Prime Video Premium,Andalucía,16.2,Sci-Fi;Action,29,Smart TV,12.99
826,2022-11-26,6,Prime Video Básico,Cataluña,16.7,Drama,47,Smart TV,4.99
827,2021-01-24,12,Prime Video Básico,Andalucía,10.1,Sci-Fi;Romance,33,Smart TV,4.99
828,2021-08-28,4,Prime Video Estándar,Aragón,16.0,Drama;Action,67,Smartphone,9.99
829,2021-11-22,36,Prime Video Básico,Andalucía,5.9,Thriller,31,Smart TV,4.99
830,2020-01-04,41,Prime Video Básico,Madrid,7.9,Romance,33,Smart TV,4.99
831,2020-06-17,10,Prime Video Estándar,Cataluña,11.1,Action,52,Smart TV,9.99
832,2021-08-18,54,Prime Video Básico,Madrid,12.4,Horror;Sci-Fi,63,Smartphone,4.99
833,2022-06-21,13,Prime Video Estándar,Andalucía,10.1,Horror;Comedy,56,Smartphone,9.99
834,2021-05-26,58,Prime Video Básico,Madrid,15.5,Horror,38,Smart TV,4.99
835,2020-09-01,39,Prime Video Estándar,Madrid,7.6,Comedy;Thriller;Horror,25,Smartphone,9.99
836,2022-02-21,20,Prime Video Básico,Madrid,2.9,Action;Horror;Romance,26,Smartphone,4.99
837,2024-09-14,25,Prime Video Básico,Madrid,8.2,Horror;Sci-Fi,31,Smartphone,4.99
838,2021-06-16,36,Prime Video Básico,Andalucía,15.7,Action;Comedy;Romance,27,Tablet,4.99
839,2020-12-15,42,Prime Video Básico,Andalucía,24.7,Sci-Fi;Comedy,27,Smartphone,4.99
840,2023-05-18,60,Prime Video Channels,Madrid,5.9,Thriller;Action,61,Smart TV,7.99
841,2022-08-05,20,Prime Video Básico,Murcia,15.3,Thriller,33,Smart TV,4.99
842,2021-07-22,32,Prime Video Básico,Canarias,1.2,Sci-Fi;Romance;Comedy,69,Tablet,4.99
843,2021-03-10,29,Prime Video Básico,Galicia,10.6,Romance;Drama;Sci-Fi,30,Smart TV,4.99
844,2021-12-08,35,Prime Video Premium,Madrid,7.0,Comedy,58,Smartphone,12.99
845,2021-03-13,60,Prime Video Estándar,Andalucía,6.9,Sci-Fi,68,Tablet,9.99
846,2021-07-21,53,Prime Video Estándar,Andalucía,19.5,Drama;Comedy;Romance,34,Tablet,9.99
847,2024-01-17,38,Prime Video Básico,Madrid,2.7,Sci-Fi;Action;Thriller,18,Smartphone,4.99
848,2022-05-30,10,Prime Video Estándar,Madrid,16.7,Action;Comedy;Horror,56,Smartphone,9.99
849,2020-06-18,52,Prime Video Channels,Comunidad Valenciana,6.4,Horror;Thriller,28,Tablet,7.99
850,2020-10-10,51,Prime Video Básico,Andalucía,7.4,Romance;Comedy,28,Smartphone,4.99
851,2024-01-11,57,Prime Video Estándar,Cataluña,6.0,Horror,21,Smartphone,9.99
852,2022-05-30,43,Prime Video Básico,Madrid,15.9,Action;Horror;Drama,46,Smartphone,4.99
853,2022-01-18,28,Prime Video Estándar,Madrid,17.7,Romance;Action;Comedy,63,Smart TV,9.99
854,2024-05-22,42,Prime Video Premium,Comunidad Valenciana,6.5,Drama;Thriller,26,Smart TV,12.99
855,2024-11-12,57,Prime Video Básico,Canarias,5.9,Drama;Horror,27,Smartphone,4.99
856,2023-02-23,23,Prime Video Básico,Galicia,14.9,Sci-Fi,34,Smartphone,4.99
857,2021-12-22,9,Prime Video Básico,Canarias,15.0,Thriller;Action;Drama,32,Smartphone,4.99
858,2020-10-09,12,Prime Video Premium,Cataluña,8.7,Romance;Action,34,Smartphone,12.99
859,2023-01-30,20,Prime Video Premium,Aragón,9.1,Drama,34,Smartphone,12.99
860,2024-03-14,13,Prime Video Channels,Andalucía,23.2,Sci-Fi;Horror,31,Smartphone,7.99
861,2024-02-16,14,Prime Video Básico,Comunidad Valenciana,4.3,Romance;Comedy;Action,34,Smartphone,4.99
862,2023-09-12,10,Prime Video Básico,País Vasco,16.8,Drama,61,Smartphone,4.99
863,2021-09-21,24,Prime Video Básico,Castilla y León,2.3,Action;Drama;Romance,55,Smartphone,4.99
864,2023-10-07,2,Prime Video Básico,Galicia,2.0,Thriller;Horror;Drama,67,Smartphone,4.99
